Date,AAPL,MSFT,GOOGL,AMZN,NVDA,META,TSLA
2025-04-29,0.005091827412437189,0.007362648446547437,-0.0028018852617022194,-0.0016515586767922308,0.0026670217080828618,0.00854946158383263,0.021512501019458785
2025-04-30,0.006107623740076784,0.003096113917762988,-0.008491415276669856,-0.015849304820837684,-0.0009173250395856369,-0.009811617951271057,-0.03379788089732105
2025-05-01,0.003858872869008989,0.07625360233238032,0.015743085920219446,0.031341496782804956,0.024697053835501137,0.042276868489486086,-0.005812356915055328
2025-05-02,-0.03736168747193236,0.023225187481900944,0.01692488345358978,-0.0011566836184702112,0.025893817366504868,0.04335811559510594,0.023848576584252656
2025-05-05,-0.03145853051229541,0.002044664423390019,0.001097386621740748,-0.01910722026349243,-0.005938866887284733,0.0037687846997391805,-0.024198258752220814
2025-05-06,-0.0019105568146198237,-0.006557043258831552,-0.005968028286686189,-0.007190832051464091,-0.0024599900463295743,-0.019957592555055692,-0.017519458684867262
2025-05-07,-0.011384844875322098,9.232956359972455e-05,-0.07259694595250721,0.019998985551532122,0.031002237470267424,0.016175450956214865,0.003159597232260225
2025-05-08,0.006318471846909812,0.011122591909284996,0.01915702107851902,0.01785806262143419,0.002648230985873523,0.0020107255795582812,0.031134624811778533
2025-05-09,0.00526603727610353,0.0012780662606930449,-0.009916876365565375,0.0051020185245573835,-0.006134471915594353,-0.009230674724144072,0.04718770485146129
2025-05-12,0.06314626203094997,0.02400105529645491,0.037381391982163725,0.08070031092964336,0.05443633946918691,0.07922484743983937,0.06745790403815088
2025-05-13,0.01015224408951143,-0.00026694947796312984,0.006752375192422777,0.01308471882441209,0.0563414029159095,0.025960762700455442,0.049280740626853614
2025-05-14,-0.0028178056681582575,0.008460518515972515,0.036607465847176224,-0.005298742220089303,0.0416377797663503,0.005075890100651792,0.04073991993646375
2025-05-15,-0.0041444407073805145,0.0022560663097470623,-0.008526200996681776,-0.024161720956264898,-0.0037681199952365185,-0.02347726270725936,-0.013978329078298546
2025-05-16,-0.0008986253601558358,0.0025158498881652225,0.013600758225998488,0.002047074000553817,0.004227463958566213,-0.005497825754353536,0.0208856061756566
2025-05-19,-0.011739075721298287,0.010126120752209422,0.002106084214622772,0.0027725440652370814,0.0012554832990736564,0.00014045718670852025,-0.022544186527114873
2025-05-20,-0.009196255872420789,-0.001525411472787952,-0.015371735288739141,-0.010137739138364021,-0.00877770099864661,-0.00519972329326901,0.005057180873010214
2025-05-21,-0.023059123765283074,-0.012222538212808609,0.027930265005007726,-0.014455883280997672,-0.019199280198776703,-0.0025112961236358755,-0.026758222357769146
2025-05-22,-0.0036123174595192875,0.005059968133832582,0.013704315617206086,0.00984492359983613,0.0078148503695743,0.001683679122128412,0.019185982671137136
2025-05-23,-0.030244159980638896,-0.010288911312403837,-0.014045775231931401,-0.010388973643241206,-0.01159380523896325,-0.014939513092368073,-0.004984788190348977
2025-05-27,0.02529825273422026,0.02334624274697772,0.02629555041863374,0.025026113945093353,0.03206635423474524,0.024335961322416333,0.06939947711644767
2025-05-28,0.0010488369682313259,-0.007228339450783938,-0.0031231790237707946,-0.006310081665849121,-0.005092117794083917,0.0019615782683932714,-0.016506435862546853
2025-05-29,-0.0023450393879255182,0.002886199964228675,-0.002900925337883886,0.004787005283780621,0.03249016424752793,0.0022841386690026777,0.004286911755287504
2025-05-30,0.004501166855784389,0.0036625974856825394,-0.0006981407325559186,-0.0033544115296213484,-0.029168709381678815,0.0037826875295841056,-0.03339564619395741
2025-06-02,0.004231968185255619,0.003497277728137682,-0.015779856069695897,0.007999607012299847,0.016650601990513936,0.03615494099371719,-0.01088145559849063
2025-06-03,0.0077838098212634765,0.0021646596439974797,-0.016860895977641954,-0.004548692041520419,0.027951559872750442,-0.006036591153000925,0.004610541775392996
2025-06-04,-0.0022137495221588033,0.0019439789824053921,0.011252873477433534,0.007388989179248462,0.00495687095373043,0.031641181186541134,-0.03549540073392177
2025-06-05,-0.010797720380636866,0.008213506571433937,0.0009521407586585706,0.0032814165352026414,-0.013599244967940627,-0.00484055364043634,-0.14259893789082123
2025-06-06,0.01639824487714092,0.005773203535631932,0.03251876663864839,0.027223334916139486,0.012357963821856499,0.01912031628177191,0.036670186138995975
2025-06-09,-0.012112532119803454,0.005038503650813819,0.015103553217149734,0.015966607137600786,0.0064212515479658006,-0.0052315209293305465,0.04553761352840424
2025-06-10,0.006055990446562909,-0.0038709607045448458,0.014254127418659834,0.0029035159702168745,0.009324789052088667,0.012016288122745467,0.05674382827003055
2025-06-11,-0.019193718960232586,0.0036099633528492436,-0.006998900962931098,-0.020265629565462184,-0.007780571947151982,-0.011759685106714546,0.0010426457165473302
2025-06-12,0.0021129184846335747,0.013224078297018105,-0.009303619858426537,0.00018765734284498237,0.015192942029507384,-0.0011237124495696582,-0.022424432461661592
2025-06-13,-0.013805203391582088,-0.008165061896095782,-0.005862329309522685,-0.0053460859139069505,-0.02089664809731795,-0.015129257515444139,0.019429076154419578
2025-06-16,0.010027978679112204,0.008800795626047186,0.012022753373987394,0.018859028217320217,0.019159054367494432,0.02898098920270198,0.011742668079331553
2025-06-17,-0.014010735099622806,-0.0022958041499749893,-0.004638912324730127,-0.005923177895162723,-0.003939529332248171,-0.006964704906452512,-0.03882963749794621
2025-06-18,0.004804748092792632,0.0046021097802841915,-0.014947253067415844,-0.010706651956707725,0.009436565638210936,-0.0020938609152689747,0.0180179597897272
2025-06-20,0.022484461787976695,-0.005913732900402757,-0.038541433390916646,-0.013316402099383007,-0.011204192941437152,-0.01928806017381668,0.0003416111576173275
2025-06-23,0.002487669966985573,0.018014294648659224,-0.008701439508503661,-0.005818118205440093,0.002224535733727162,0.02371226137829563,0.0823193093872907
2025-06-24,-0.0059553645031715785,0.008456685924216112,0.00956474370701077,0.02062648355436747,0.025872164568679912,0.01956962142166052,-0.023545920693855638
2025-06-25,0.006290576414705429,0.004407231138295886,0.02344542221457635,-0.0036659245365152637,0.0433402059174941,-0.0049424701355385015,-0.037947582404945
2025-06-26,-0.002778418785846948,0.010522749157461098,0.01675646678691778,0.024199205109171285,0.004601045575293838,0.024566878180301233,-0.0054037218123500486
2025-06-27,0.00039808811103148045,-0.0030355482788234633,0.028754166762869682,0.028463559660798277,0.01761057766805907,0.010384310048560996,-0.006599526995335614
2025-06-30,0.020340159867571872,0.0029641452431168336,-0.012882921770212996,-0.017510092291414314,0.0015215857074653005,0.006079489937607319,-0.018446995428822777
2025-07-01,0.012916154801693835,-0.010775874969415344,-0.0022129688077355825,0.00487719279454657,-0.02968544324345679,-0.025566093145412805,-0.05335897504131726
2025-07-02,0.02223072103194701,-0.0019509840445374182,0.015923470766441294,-0.002449462616694653,0.025766351418616162,-0.007855757496262994,0.04968242780731846
